month;WAG_C_M
01.09.2016;35843
01.10.2016;35749
01.11.2016;36195
01.12.2016;47554
01.01.2017;34422
01.02.2017;35497
01.03.2017;37899
01.04.2017;39225
01.05.2017;39679
01.06.2017;41454
01.07.2017;38073
01.08.2017;37099
01.09.2017;38047
01.10.2017;38333
01.11.2017;38848
01.12.2017;51197
01.01.2018;39017
01.02.2018;40443
01.03.2018;42364
01.04.2018;43381
01.05.2018;44076
01.06.2018;45848
01.07.2018;42413
01.08.2018;41364
01.09.2018;41774
01.10.2018;42332
01.11.2018;42595
01.12.2018;55569
01.01.2019;42263
01.02.2019;43062
01.03.2019;46324
01.04.2019;48030
01.05.2019;47926
01.06.2019;49348
01.07.2019;46509
01.08.2019;44961